strain	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names	NCBI_refseq_accession	NCBI_taxon_identifier	organism	full_scientific_name	plasmids	genome_length	sequencing_platform	genome_status
P11F6	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter sp. P11F6	131567|2|1224|1236|72274|468|497|1699621	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Psychrobacter|Psychrobacter sp. P11F6	NZ_CM003594.1|NZ_CM003595.1	1699621	Psychrobacter	Psychrobacter sp. P11F6	1	3514998	Illumina	Complete
P11G3	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter sp. P11G3	131567|2|1224|1236|72274|468|497|1699623	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Psychrobacter|Psychrobacter sp. P11G3	NZ_CM003596.1|NZ_CM003597.1|NZ_CM003598.1|NZ_CM003599.1|NZ_CM003600.1	1699623	Psychrobacter	Psychrobacter sp. P11G3	4	3282856	Illumina	Complete
PR4|NBRC 100887|MBIC 01337	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus erythropolis	131567|2|1783272|201174|1760|85007|85025|1827|1833|234621	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Corynebacteriales|Nocardiaceae|Rhodococcus|Rhodococcus erythropolis|Rhodococcus erythropolis PR4	NC_012490.1|NC_007486.1|NC_007487.1|NC_007491.1	234621	Rhodococcus erythropolis	Rhodococcus erythropolis PR4	3	6895538	AB 3700 Genetic Analyzer|AB 377 Genetic Analyzer	Complete
AM13|DSM 14728	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio hydrothermalis	131567|2|1224|68525|28221|213115|194924|872|191026|1121451	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio|Desulfovibrio hydrothermalis|Desulfovibrio hydrothermalis AM13 = DSM 14728	NC_020055.1|NC_019953.1	1121451	Desulfovibrio hydrothermalis	Desulfovibrio hydrothermalis AM13	1	3708362	454 GS FLX Titanium|Solexa	Complete
MIT 9211	Bacteria	Cyanobacteria	NA	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus	131567|2|1783272|1117|1212|1217|1218|1219|93059	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria|Prochlorales|Prochlorococcaceae|Prochlorococcus|Prochlorococcus marinus|Prochlorococcus marinus str. MIT 9211	NC_009976	93059	Prochlorococcus marinus	Prochlorococcus marinus str. MIT 9211	0	1688963	AB 3730xL Genetic Analyzer	Complete
JH146|DSM 27223|KACC 18232	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus bathoardescens	131567|2157|28890|183939|2182|196117|196118|1301915	cellular organisms|Archaea|Euryarchaeota|Methanococci|Methanococcales|Methanocaldococcaceae|Methanocaldococcus|Methanocaldococcus bathoardescens	NZ_CP009149.1	1301915	Methanocaldococcus	Methanocaldococcus sp. JH146	missing	1607560	454 GS|Illumina	Complete
Su06	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrodictium	Pyrodictium delaneyi	131567|2157|1783275|28889|183924|114380|2307|2308|1273541	cellular organisms|Archaea|TACK group|Crenarchaeota|Thermoprotei|Desulfurococcales|Pyrodictiaceae|Pyrodictium|Pyrodictium delaneyi	NZ_CP013011.1	1273541	Pyrodictium delaneyi	Pyrodictium delaneyi strain Su06	missing	2023836	454 GS|Illumina	Complete
30-1|JCM 19601|CNCM 42755	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus nautili	131567|2157|28890|183968|2258|2259|2263|195522	cellular organisms|Archaea|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Thermococcus|Thermococcus nautili	NZ_CP007264.1|NC_009658.1|NC_014115.1|NC_022527.1	195522	Thermococcus nautili	Thermococcus nautili strain 30-1	3	1976360	Illumina	Complete
NA1|KCTC 10859|JCM 13517	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus onnurineus	131567|2157|28890|183968|2258|2259|2263|342948|523850	cellular organisms|Archaea|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Thermococcus|Thermococcus onnurineus|Thermococcus onnurineus NA1	NC_011529.1	523850	Thermococcus onnurineus	Thermococcus onnurineus NA1	missing	1847610	AB 3730xL Genetic Analyzer|454 GS 20	Complete
CL1|DSM 27260|KACC 17922	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus cleftensis	131567|2157|28890|183968|2258|2259|2263|163003	cellular organisms|Archaea|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Thermococcus|Thermococcus cleftensis	NC_018015.1	163003	Thermococcus	Thermococcus sp. CL1	missing	1950310	454 GS FLX Titanium	Complete
107|DSM 6062|ATCC 27126|CCUG 16128|CIP 103198|JCM 20772|LMG 2843|NBRC 102226	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas macleodii	131567|2|1224|1236|135622|72275|226|28108|529120	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas|Alteromonas macleodii|Alteromonas macleodii ATCC 27126	NC_018632.1	529120	Alteromonas macleodii	Alteromonas macleodii ATCC 27126	missing	4653851	454 GS FLX|Illumina Genome Analyzer IIx	Complete
NA2	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus sp. NA2	131567|2157|28890|183968|2258|2259|2260|342949	cellular organisms|Archaea|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Pyrococcus|Pyrococcus sp. NA2	NC_015474.1	342949	Pyrococcus	Pyrococcus sp. NA2	missing	1861320	454 GS FLX Titanium	Complete
MT41	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	Colwellia sp. MT41	131567|2|1224|1236|135622|267889|28228|58049	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Colwelliaceae|Colwellia|Colwellia sp. MT41	NZ_CP013145.1	58049	Colwellia	Colwellia sp. MT41	missing	4337945	AB 3730xL Genetic Analyzer	Complete
GE5|DSM 25543|CNCM I-1302	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus abyssi	131567|2157|28890|183968|2258|2259|2260|29292|272844	cellular organisms|Archaea|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Pyrococcus|Pyrococcus abyssi|Pyrococcus abyssi GE5	NC_000868.1|NC_001773.1	272844	Pyrococcus abyssi	Pyrococcus abyssi GE5	1	1768560	LI-COR 4200L	Complete
S1-08|KCTC 23432|NBRC 107738	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Nonlabens	Nonlabens marinus	131567|2|1783270|68336|976|117743|200644|49546|363408|930802|1454201	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Nonlabens|Nonlabens marinus|Nonlabens marinus S1-08	NZ_AP014548.1	1454201	Nonlabens marinus	Nonlabens marinus S1-08	missing	2915920	454 GS FLX|Illumina MiSeq	Complete
DSS 12|JCM 10179|CIP 106290|LMG 1915	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella violacea	131567|2|1224|1236|135622|267890|22|60217|637905	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella violacea|Shewanella violacea DSS12	NC_014012.1	637905	Shewanella violacea	Shewanella violacea DSS12	0	4962103	AB 3730 Genetic Analyzer	Complete
PR3|DSM 11551|ATCC 700274|JCM 10706	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halogeometricum	Halogeometricum borinquense	131567|2157|28890|183963|1644055|1644056|60846|60847|469382	cellular organisms|Archaea|Euryarchaeota|Halobacteria|Haloferacales|Haloferacaceae|Halogeometricum|Halogeometricum borinquense|Halogeometricum borinquense DSM 11551	NC_014729.1|NC_014736.1|NC_014732.1|NC_014735.1|NC_014737.1|NC_014731.1	469382	Halogeometricum borinquense	Halogeometricum borinquense DSM 11551	1	3944470	AB 3730 Genetic Analyzer|454 GS FLX	Complete
PR-6|ATCC 27264|PCC 7002	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. PCC 7002	131567|2|1783272|1117|1301283|1118|1129|32049	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria|Oscillatoriophycideae|Chroococcales|Synechococcus|Synechococcus sp. PCC 7002	NC_010475.1|NC_010476.1|NC_010477.1|NC_010478.1|NC_010479.1|NC_010480.1|NC_010474.1	32049	Synechococcus	Synechococcus sp. PCC 7002	6	3409935	454 GS|Sanger	Complete
PRwf-1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter sp. PRwf-1	131567|2|1224|1236|72274|468|497|349106	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Psychrobacter|Psychrobacter sp. PRwf-1	NC_009524.1|NC_009516.1|NC_009517.1	349106	Psychrobacter	Psychrobacter sp. PRwf-1	2	2995049	Sanger	Complete
R9SW1|JCM 19399|LMG 27497|CIP 110588|KMM 7502|DSM 27081	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter salarius	131567|2|1224|1236|135622|72275|2742|1420917	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Marinobacter|Marinobacter salarius	NZ_CP007152.1	1420917	Marinobacter salarius	Marinobacter salarius R9SW1	missing	4616532	Ion Torrent	Complete
2812B	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga sp. 2812B	131567|2|200918|188708|2419|188709|2335|1157948	cellular organisms|Bacteria|Thermotogae|Thermotogae|Thermotogales|Thermotogaceae|Thermotoga|Thermotoga sp. 2812B	NZ_CP003408.1	1157948	Thermotoga	Thermotoga sp. 2812B	missing	1843731	454 GS FLX and Sanger	Complete
HTCC 2559|ATCC BAA-628|KCTC 12090	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Croceibacter	Croceibacter atlanticus	131567|2|1783270|68336|976|117743|200644|49546|216431|313588|216432	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Croceibacter|Croceibacter atlanticus|Croceibacter atlanticus HTCC2559	NC_014230.1	216432	Croceibacter atlanticus	Croceibacter atlanticus HTCC2559	0	2952962	missing	Complete
HTCC 2594	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Erythrobacter litoralis	131567|2|1224|28211|204457|335929|1041|39960|314225	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Erythrobacter|Erythrobacter litoralis|Erythrobacter litoralis HTCC2594	NC_007722.1	314225	Erythrobacter litoralis	Erythrobacter litoralis HTCC2594	0	3052398	missing	Complete
MIT 9301	Bacteria	Cyanobacteria	NA	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus	131567|2|1783272|1117|1212|1217|1218|1219|167546	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria|Prochlorales|Prochlorococcaceae|Prochlorococcus|Prochlorococcus marinus|Prochlorococcus marinus str. MIT 9301	NC_009091.1	167546	Prochlorococcus marinus	Prochlorococcus marinus str. MIT 9301	0	1641879	AB 3730xL Genetic Analyzer	Complete
MIT 9303	Bacteria	Cyanobacteria	NA	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus	131567|2|1783272|1117|1212|1217|1218|1219|59922	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria|Prochlorales|Prochlorococcaceae|Prochlorococcus|Prochlorococcus marinus|Prochlorococcus marinus str. MIT 9303	NC_008820	59922	Prochlorococcus marinus	Prochlorococcus marinus str. MIT 9303	0	2682675	AB 3730xL Genetic Analyzer	Complete
WH 7803	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. WH 7803	131567|2|1783272|1117|1301283|1118|1129|32051	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria|Oscillatoriophycideae|Chroococcales|Synechococcus|Synechococcus sp. WH 7803	NC_009481.1	32051	Synechococcus	Synechococcus sp. WH 7803	0	2366980	missing	Complete
MBRSF 5	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	missing	missing	Methylophilales bacterium MBRSF5	131567|2|1224|28216|206350|383630|1623448	cellular organisms|Bacteria|Proteobacteria|Betaproteobacteria|Methylophilales|unclassified Methylophilales|Methylophilales bacterium MBRSF5	NZ_CP011001.1	1623448	Methylophilales bacterium	Methylophilales bacterium MBRSF5	missing	1352914	Illumina Genome Analyzer IIx	Complete
MBRSG 12	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	missing	missing	Methylophilales bacterium MBRSG12	131567|2|1224|28216|206350|383630|1623449	cellular organisms|Bacteria|Proteobacteria|Betaproteobacteria|Methylophilales|unclassified Methylophilales|Methylophilales bacterium MBRSG12	NZ_CP011003.1	1623449	Methylophilales bacterium	Methylophilales bacterium MBRSG12	missing	1352831	Illumina Genome Analyzer IIx	Complete
MBRSH 7	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	missing	missing	Methylophilales bacterium MBRSH7	131567|2|1224|28216|206350|383630|1623450	cellular organisms|Bacteria|Proteobacteria|Betaproteobacteria|Methylophilales|unclassified Methylophilales|Methylophilales bacterium MBRSH7	NZ_CP011002.1	1623450	Methylophilales bacterium	Methylophilales bacterium MBRSH7	missing	1352885	Illumina Genome Analyzer IIx	Complete
DSM 17526|LMG 23754|KMM 6221|CIP 109902	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Echinicola	Echinicola vietnamensis	131567|2|1783270|68336|976|768503|768507|563798|390846|390884|926556	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae|Echinicola|Echinicola vietnamensis|Echinicola vietnamensis DSM 17526	NC_019904.1	926556	Echinicola vietnamensis	Echinicola vietnamensis DSM 17526	0	5608040	454 GS FLX Titanium|Illumina	Complete
SW-125|DSM 16069|KCTC 12182	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Kangiella	Kangiella koreensis	131567|2|1224|1236|135619|224372|261963|261964|523791	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Kangiella|Kangiella koreensis|Kangiella koreensis DSM 16069	NC_013166.1	523791	Kangiella koreensis	Kangiella koreensis DSM 16069	0	2852073	AB 3730 Genetic Analyzer|454 GS FLX	Complete
YelD216|KCTC 32984	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Lacimicrobium	Lacimicrobium alkaliphilum	131567|2|1224|1236|135622|72275|1751872|1526571	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Lacimicrobium|Lacimicrobium alkaliphilum	NZ_CP013650.1	1526571	Lacimicrobium alkaliphilum	Lacimicrobium alkaliphilum strain KCTC 32984	missing	4378835	PacBio RS	Complete
YSFST01-82	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus iniae	131567|2|1783272|1239|91061|186826|1300|1301|1346	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus iniae	NZ_CP010783.1	1346	Streptococcus iniae	Streptococcus iniae strain YSFST01-82	missing	2086959	454 GS FLX Titanium	Complete
US6-1|KCTC 10454|JCM 12182|DSM 17173	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium pentaromativorans	131567|2|1224|28211|204457|41297|165696|205844|1088721	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium pentaromativorans|Novosphingobium pentaromativorans US6-1	NZ_CP009291.1|NZ_CP009294.1|NZ_CP009296.1|NZ_CP009292.1|NZ_CP009293.1|NZ_CP009295.1	1088721	Novosphingobium pentaromativorans	Novosphingobium pentaromativorans US6-1	5	5457578	Illumina Miseq|PacBio RS	Complete
FR1064|JCM 12485|KCTC 12276	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola	Glaciecola nitratireducens	131567|2|1224|1236|135622|72275|89404|300231|1085623	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Glaciecola|Glaciecola nitratireducens|Glaciecola nitratireducens FR1064	NC_016041.1	1085623	Glaciecola nitratireducens	Glaciecola nitratireducens FR1064	0	4134229	454 GS|Illumina	Complete
T469|DSM 19572	Archaea	Euryarchaeota	missing	missing	missing	Aciduliprofundum	Aciduliprofundum boonei	131567|2157|28890|33867|379546|379547|439481	cellular organisms|Archaea|Euryarchaeota|unclassified Euryarchaeota|Aciduliprofundum|Aciduliprofundum boonei|Aciduliprofundum boonei T469	NC_013926.1	439481	Aciduliprofundum boonei	Aciduliprofundum boonei T469	missing	1486780	454 GS FLX	Complete
LMG 21856|DSM 15672	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas stellipolaris	131567|2|1224|1236|135622|72275|226|233316|1160720	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas|Alteromonas stellipolaris|Alteromonas stellipolaris LMG 21856	NZ_CP013120.1	1160720	Alteromonas stellipolaris	Alteromonas stellipolaris LMG 21856	missing	4686200	Illumina	Complete
BS107|CIP 105210|DSM 26640|IAM 14812	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter gallaeciensis	131567|2|1224|28211|204455|31989|302485|60890|1423144	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Phaeobacter|Phaeobacter gallaeciensis|Phaeobacter gallaeciensis DSM 26640	NC_023137.1|NC_023141.1|NC_023143.1|NC_023139.1|NC_023138.1|NC_023148.1|NC_023140.1|NC_023142.1	1423144	Phaeobacter gallaeciensis	Phaeobacter gallaeciensis DSM 26640	7	4540155	454 GS FLX Titanium	Complete
19SMN4|DSM 6084|LMG 18521	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri	131567|2|1224|1236|72274|135621|286|136846|578833|316	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas stutzeri group|Pseudomonas stutzeri subgroup|Pseudomonas stutzeri	NZ_CP007509.1|NZ_CP007510.1	316	Pseudomonas stutzeri	Pseudomonas stutzeri strain 19SMN4	1	4833395	Illumina	Complete
93U204	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio vulnificus	131567|2|1224|1236|135623|641|662|672	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio vulnificus	NZ_CP009261.1|NZ_CP009262.1|NZ_CP009263.1	672	Vibrio vulnificus	Vibrio vulnificus strain 93U204	1	5127345	Illumina Miseq|HiSeq 2000	Complete
H17|KMM 6016|CIP 109921|DSM 27080	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas australica	131567|2|1224|1236|135622|72275|226|589873	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas|Alteromonas australica	CP008849.1	589873	Alteromonas australica	Alteromonas australica H 17	missing	4308830	Illumina Genome Analyzer IIx	Complete
English Channel 615|DSM 26506	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas mediterranea	131567|2|1224|1236|135622|72275|226|314275|1300253	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas|Alteromonas mediterranea|Alteromonas mediterranea 615	CP004846.1|CP004847.1	1300253	Alteromonas macleodii	Alteromonas macleodii str. 'English Channel 615'	1	4582352	Illumina HiSeq 2000	Complete
NCIMB 400	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella frigidimarina	131567|2|1224|1236|135622|267890|22|56812|318167	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella frigidimarina|Shewanella frigidimarina NCIMB 400	NC_008345.1	318167	Shewanella frigidimarina	Shewanella frigidimarina NCIMB 400	0	4845257	missing	Complete
FPG3|ATCC 49418|DSM 3660|NCMB1947|LMG 13179|IAM 14308|NCMB 1947	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum	131567|2|1783270|68336|976|117743|200644|49546|237|96345|1452724	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium psychrophilum|Flavobacterium psychrophilum FPG3	NZ_CP007207.1	1452724	Flavobacterium psychrophilum	Flavobacterium psychrophilum FPG3	missing	2715910	Illumina|PacBio RS	Complete
MB2|DSM 14336|ATCC BAA-92	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Leisingera	Leisingera methylohalidivorans	131567|2|1224|28211|204455|31989|191028|133924|999552	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Leisingera|Leisingera methylohalidivorans|Leisingera methylohalidivorans DSM 14336	NC_023135.1|NC_023146.1|NC_023136.1	999552	Leisingera methylohalidivorans	Leisingera methylohalidivorans DSM 14336	2	4650996	454 GS FLX Titanium|Illumina HiSeq	Complete
